state_country,activities,budget,destinationType,duration
"Bali, Indonesia","[""Temple Visits"", ""Cultural Tours""]",Low,"[""Historical"", ""Educational""]",2-3 days
"Tokyo, Japan","[""Cultural Shows"", ""Shopping"", ""Temple Visits""]",High,"[""Adventure"", ""Beach""]",4-6 days
"Wyoming, USA","[""Camping"", ""Wildlife Safari"", ""Photography"", ""Hiking"", ""Wine Tasting""]",Low,"[""Adventure"", ""Sports""]",8-10 days
"Wyoming, USA","[""Photography"", ""Camping"", ""Hiking"", ""Wildlife Safari""]",Low,"[""Cultural"", ""Adventure""]",4-6 days
"Bali, Indonesia","[""Temple Visits"", ""Cultural Tours""]",High,"[""Historical"", ""Educational""]",2-3 days
"Paris, France","[""Shopping"", ""Historical Tours"", ""Food Tours"", ""Museums"", ""Art Museums""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling"", ""Beach"", ""Hiking""]",Low,"[""Cultural"", ""Food""]",4-6 days
"Wyoming, USA","[""Hiking"", ""Camping"", ""Photography"", ""Wildlife Safari"", ""Local Festivals""]",Medium,"[""Cultural"", ""Historical""]",10-14 days
"New York, USA","[""Museums"", ""Shopping""]",High,"[""Cultural"", ""Adventure""]",8-10 days
"Swiss Alps, Switzerland","[""Photography"", ""Hiking""]",High,"[""Urban"", ""Shopping""]",6-8 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Photography"", ""Skiing""]",Low,"[""Urban"", ""Modern""]",10-14 days
"Tuscany, Italy","[""Historical Tours"", ""Art Museums"", ""Wine Tasting"", ""Food Tours""]",High,"[""Adventure"", ""Nature""]",8-10 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours"", ""Wine Tasting"", ""Food Tours""]",Low,"[""Adventure"", ""Beach""]",6-8 days
"New York, USA","[""Theater"", ""Food Tours""]",Low,"[""Cultural"", ""Adventure""]",4-6 days
"Dubai, UAE","[""Water Parks"", ""Architecture Tours"", ""Shopping"", ""Desert Safari"", ""Photography""]",Medium,"[""Adventure"", ""Sports""]",10-14 days
"Bali, Indonesia","[""Cultural Tours"", ""Surfing"", ""Beach"", ""Temple Visits""]",High,"[""Cultural"", ""Food""]",2-3 days
"Paris, France","[""Food Tours"", ""Shopping"", ""Historical Tours"", ""Museums""]",Medium,"[""Cultural"", ""Food""]",8-10 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Art Museums""]",Low,"[""Nature"", ""Relaxation""]",10-14 days
"Bangkok, Thailand","[""Shopping"", ""Cultural Shows"", ""Temple Visits""]",Medium,"[""Cultural"", ""Food""]",6-8 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Food Tours"", ""Temple Visits""]",Medium,"[""Cultural"", ""Adventure""]",6-8 days
"California, USA","[""Wine Tasting"", ""Theme Parks"", ""Surfing""]",High,"[""Cultural"", ""Adventure""]",8-10 days
"California, USA","[""Beach"", ""Wine Tasting"", ""Theme Parks"", ""Surfing""]",Low,"[""Nature"", ""Relaxation""]",8-10 days
"Bali, Indonesia","[""Cultural Tours"", ""Beach"", ""Surfing"", ""Temple Visits""]",Medium,"[""Historical"", ""Educational""]",2-3 days
"New York, USA","[""Food Tours"", ""Museums"", ""Theater""]",Low,"[""Cultural"", ""Historical""]",2-3 days
"Tokyo, Japan","[""Temple Visits"", ""Shopping"", ""Food Tours"", ""Cultural Shows""]",High,"[""Nature"", ""Photography""]",10-14 days
"California, USA","[""Beach"", ""Wine Tasting"", ""Surfing"", ""Theme Parks"", ""Cultural Shows""]",High,"[""Adventure"", ""Nature""]",10-14 days
"Hawaii, USA","[""Snorkeling"", ""Surfing"", ""Volcano Tours"", ""Beach"", ""Camping""]",Low,"[""Beach"", ""Relaxation""]",10-14 days
"Tuscany, Italy","[""Wine Tasting"", ""Art Museums"", ""Food Tours"", ""Historical Tours""]",Low,"[""Urban"", ""Shopping""]",8-10 days
"Wyoming, USA","[""Photography"", ""Camping"", ""Hiking"", ""Wildlife Safari""]",Medium,"[""Cultural"", ""Adventure""]",4-6 days
"Bali, Indonesia","[""Temple Visits"", ""Cultural Tours"", ""Surfing""]",High,"[""Nature"", ""Relaxation""]",10-14 days
"British Columbia, Canada","[""Skiing"", ""Hiking"", ""Kayaking"", ""Wildlife Tours"", ""Rock Climbing""]",Low,"[""Urban"", ""Modern""]",6-8 days
"Hawaii, USA","[""Volcano Tours"", ""Surfing""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"Tuscany, Italy","[""Food Tours"", ""Art Museums""]",Medium,"[""Cultural"", ""Food""]",8-10 days
"Hawaii, USA","[""Beach"", ""Volcano Tours""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"California, USA","[""Theme Parks"", ""Beach"", ""Wine Tasting"", ""Surfing""]",High,"[""Nature"", ""Relaxation""]",4-6 days
"Queensland, Australia","[""Snorkeling"", ""Hiking""]",High,"[""Nature"", ""Photography""]",2-3 days
"Colorado, USA","[""Mountain Biking"", ""Rock Climbing""]",High,"[""Cultural"", ""Historical""]",2-3 days
"California, USA","[""Surfing"", ""Wine Tasting""]",Medium,"[""Adventure"", ""Nature""]",10-14 days
"Paris, France","[""Historical Tours"", ""Museums"", ""Food Tours""]",Medium,"[""Beach"", ""Relaxation""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Cultural Tours"", ""Surfing"", ""Temple Visits"", ""Castle Tours""]",High,"[""Cultural"", ""Historical""]",4-6 days
"Paris, France","[""Museums"", ""Food Tours"", ""Shopping""]",Low,"[""Historical"", ""Educational""]",6-8 days
"Tokyo, Japan","[""Cultural Shows"", ""Food Tours"", ""Shopping"", ""Temple Visits""]",Low,"[""Urban"", ""Shopping""]",2-3 days
"Swiss Alps, Switzerland","[""Photography"", ""Mountain Tours""]",Low,"[""Beach"", ""Relaxation""]",6-8 days
"Hawaii, USA","[""Beach"", ""Volcano Tours""]",Low,"[""Adventure"", ""Nature""]",10-14 days
"Queensland, Australia","[""Beach"", ""Hiking"", ""Wildlife Tours"", ""Snorkeling"", ""Kayaking""]",High,"[""Beach"", ""Relaxation""]",2-3 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Photography"", ""Hiking"", ""Skiing"", ""Surfing""]",Medium,"[""Adventure"", ""Sports""]",6-8 days
"Paris, France","[""Food Tours"", ""Museums"", ""Historical Tours"", ""Shopping""]",Low,"[""Historical"", ""Educational""]",2-3 days
"Tuscany, Italy","[""Historical Tours"", ""Food Tours"", ""Art Museums"", ""Wine Tasting""]",Medium,"[""Nature"", ""Photography""]",8-10 days
"Hawaii, USA","[""Snorkeling"", ""Volcano Tours"", ""Surfing"", ""Beach""]",Low,"[""Adventure"", ""Beach""]",6-8 days
"Wyoming, USA","[""Hiking"", ""Wildlife Safari"", ""Camping"", ""Photography"", ""Museums""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"Bavaria, Germany","[""Beer Tours"", ""Historical Tours"", ""Hiking"", ""Castle Tours""]",High,"[""Cultural"", ""Adventure""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Cultural Tours"", ""Temple Visits"", ""Castle Tours""]",High,"[""Cultural"", ""Historical""]",4-6 days
"California, USA","[""Wine Tasting"", ""Surfing""]",High,"[""Cultural"", ""Food""]",6-8 days
"Hawaii, USA","[""Surfing"", ""Beach"", ""Snorkeling""]",High,"[""Urban"", ""Shopping""]",2-3 days
"Bangkok, Thailand","[""Cultural Shows"", ""Temple Visits"", ""Food Tours""]",High,"[""Nature"", ""Relaxation""]",10-14 days
"Wyoming, USA","[""Hiking"", ""Photography""]",High,"[""Adventure"", ""Beach""]",4-6 days
"Wyoming, USA","[""Hiking"", ""Wildlife Safari"", ""Photography"", ""Camping"", ""Water Parks""]",High,"[""Adventure"", ""Beach""]",8-10 days
"Colorado, USA","[""Skiing"", ""Rock Climbing"", ""Mountain Biking"", ""Hiking"", ""Local Festivals""]",High,"[""Nature"", ""Photography""]",2-3 days
"Paris, France","[""Museums"", ""Historical Tours"", ""Food Tours"", ""Shopping""]",High,"[""Cultural"", ""Food""]",2-3 days
"Wyoming, USA","[""Camping"", ""Hiking"", ""Wildlife Safari"", ""Photography""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"British Columbia, Canada","[""Wildlife Tours"", ""Skiing""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Wine Tasting"", ""Art Museums"", ""Castle Tours""]",Medium,"[""Urban"", ""Modern""]",2-3 days
"Bali, Indonesia","[""Beach"", ""Cultural Tours""]",Low,"[""Adventure"", ""Beach""]",4-6 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography""]",Medium,"[""Nature"", ""Photography""]",8-10 days
"California, USA","[""Theme Parks"", ""Surfing"", ""Beach"", ""Wine Tasting"", ""Wildlife Tours""]",Low,"[""Cultural"", ""Historical""]",4-6 days
"British Columbia, Canada","[""Wildlife Tours"", ""Hiking""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"Bavaria, Germany","[""Beer Tours"", ""Castle Tours"", ""Historical Tours"", ""Hiking"", ""Theater""]",High,"[""Urban"", ""Shopping""]",8-10 days
"Swiss Alps, Switzerland","[""Photography"", ""Mountain Tours"", ""Skiing"", ""Hiking""]",Low,"[""Adventure"", ""Beach""]",10-14 days
"Hawaii, USA","[""Snorkeling"", ""Beach""]",Low,"[""Cultural"", ""Historical""]",8-10 days
"Paris, France","[""Museums"", ""Shopping"", ""Historical Tours"", ""Food Tours""]",Low,"[""Nature"", ""Photography""]",8-10 days
"Swiss Alps, Switzerland","[""Hiking"", ""Skiing"", ""Mountain Tours"", ""Photography""]",Medium,"[""Cultural"", ""Food""]",6-8 days
"Bavaria, Germany","[""Beer Tours"", ""Castle Tours"", ""Hiking"", ""Historical Tours""]",Low,"[""Cultural"", ""Food""]",6-8 days
"Swiss Alps, Switzerland","[""Skiing"", ""Mountain Tours""]",Low,"[""Adventure"", ""Sports""]",2-3 days
"British Columbia, Canada","[""Hiking"", ""Wildlife Tours"", ""Kayaking"", ""Skiing"", ""Scuba Diving""]",Medium,"[""Adventure"", ""Sports""]",4-6 days
"British Columbia, Canada","[""Hiking"", ""Kayaking"", ""Skiing"", ""Wildlife Tours"", ""Historical Tours""]",Medium,"[""Cultural"", ""Historical""]",10-14 days
"Wyoming, USA","[""Camping"", ""Wildlife Safari"", ""Hiking"", ""Photography"", ""Surfing""]",High,"[""Historical"", ""Educational""]",2-3 days
"California, USA","[""Surfing"", ""Wine Tasting"", ""Beach"", ""Theme Parks"", ""Nightlife""]",Low,"[""Urban"", ""Shopping""]",4-6 days
"Hawaii, USA","[""Beach"", ""Surfing"", ""Snorkeling""]",Medium,"[""Nature"", ""Photography""]",4-6 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Wine Tasting"", ""Art Museums"", ""Skiing""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"New York, USA","[""Museums"", ""Theater"", ""Shopping""]",Medium,"[""Nature"", ""Relaxation""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Temple Visits""]",Medium,"[""Beach"", ""Relaxation""]",6-8 days
"Hawaii, USA","[""Beach"", ""Snorkeling"", ""Surfing"", ""Volcano Tours""]",Medium,"[""Urban"", ""Shopping""]",2-3 days
"Queensland, Australia","[""Wildlife Tours"", ""Beach""]",Medium,"[""Cultural"", ""Historical""]",2-3 days
"British Columbia, Canada","[""Wildlife Tours"", ""Hiking"", ""Kayaking"", ""Skiing"", ""Beach""]",High,"[""Adventure"", ""Nature""]",8-10 days
"Bali, Indonesia","[""Beach"", ""Temple Visits"", ""Cultural Tours"", ""Surfing""]",Medium,"[""Historical"", ""Educational""]",8-10 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours"", ""Beer Tours"", ""Hiking""]",Medium,"[""Cultural"", ""Adventure""]",4-6 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking"", ""Skiing""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"Colorado, USA","[""Skiing"", ""Rock Climbing"", ""Mountain Biking"", ""Hiking"", ""Shopping""]",Medium,"[""Nature"", ""Photography""]",6-8 days
"Paris, France","[""Food Tours"", ""Museums""]",High,"[""Cultural"", ""Adventure""]",10-14 days
"Hawaii, USA","[""Beach"", ""Surfing"", ""Snorkeling""]",Medium,"[""Cultural"", ""Historical""]",10-14 days
"Wyoming, USA","[""Photography"", ""Wildlife Safari"", ""Camping"", ""Hiking""]",Low,"[""Adventure"", ""Nature""]",4-6 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking""]",Medium,"[""Cultural"", ""Adventure""]",4-6 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Temple Visits"", ""Food Tours"", ""Mountain Tours""]",Medium,"[""Adventure"", ""Sports""]",6-8 days
"Tuscany, Italy","[""Wine Tasting"", ""Food Tours"", ""Historical Tours""]",Low,"[""Historical"", ""Educational""]",4-6 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Temple Visits""]",Low,"[""Cultural"", ""Adventure""]",4-6 days
"New York, USA","[""Shopping"", ""Theater""]",High,"[""Adventure"", ""Nature""]",6-8 days
"Queensland, Australia","[""Beach"", ""Hiking"", ""Snorkeling"", ""Wildlife Tours""]",Low,"[""Nature"", ""Photography""]",2-3 days
"Colorado, USA","[""Skiing"", ""Mountain Biking""]",High,"[""Adventure"", ""Sports""]",8-10 days
"Wyoming, USA","[""Photography"", ""Hiking"", ""Wildlife Safari""]",High,"[""Nature"", ""Photography""]",6-8 days
"Dubai, UAE","[""Water Parks"", ""Shopping"", ""Architecture Tours"", ""Desert Safari""]",Medium,"[""Cultural"", ""Adventure""]",4-6 days
"New York, USA","[""Theater"", ""Shopping"", ""Food Tours"", ""Museums"", ""Skiing""]",High,"[""Cultural"", ""Food""]",8-10 days
"Tokyo, Japan","[""Food Tours"", ""Cultural Shows""]",Low,"[""Urban"", ""Shopping""]",6-8 days
"Colorado, USA","[""Rock Climbing"", ""Hiking"", ""Skiing"", ""Mountain Biking""]",Low,"[""Adventure"", ""Beach""]",8-10 days
"Paris, France","[""Historical Tours"", ""Food Tours"", ""Shopping"", ""Museums""]",Medium,"[""Historical"", ""Educational""]",4-6 days
"Dubai, UAE","[""Desert Safari"", ""Architecture Tours"", ""Water Parks""]",High,"[""Nature"", ""Photography""]",8-10 days
"Queensland, Australia","[""Snorkeling"", ""Hiking"", ""Wildlife Tours"", ""Beach"", ""Nightlife""]",Low,"[""Urban"", ""Modern""]",8-10 days
"Paris, France","[""Museums"", ""Food Tours""]",Low,"[""Cultural"", ""Food""]",6-8 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Beach"", ""Snorkeling"", ""Architecture Tours""]",Low,"[""Adventure"", ""Beach""]",8-10 days
"Bali, Indonesia","[""Temple Visits"", ""Beach""]",High,"[""Beach"", ""Relaxation""]",4-6 days
"Bangkok, Thailand","[""Shopping"", ""Temple Visits"", ""Food Tours"", ""Cultural Shows""]",High,"[""Cultural"", ""Adventure""]",4-6 days
"Tokyo, Japan","[""Cultural Shows"", ""Temple Visits"", ""Food Tours""]",Low,"[""Adventure"", ""Nature""]",10-14 days
"California, USA","[""Surfing"", ""Theme Parks"", ""Beach""]",Low,"[""Adventure"", ""Sports""]",4-6 days
"Tokyo, Japan","[""Food Tours"", ""Cultural Shows"", ""Shopping"", ""Temple Visits"", ""Surfing""]",High,"[""Adventure"", ""Sports""]",2-3 days
"Bavaria, Germany","[""Beer Tours"", ""Castle Tours"", ""Historical Tours"", ""Hiking""]",Medium,"[""Urban"", ""Modern""]",6-8 days
"Tuscany, Italy","[""Food Tours"", ""Wine Tasting"", ""Art Museums"", ""Historical Tours""]",Low,"[""Cultural"", ""Historical""]",8-10 days
"California, USA","[""Surfing"", ""Beach"", ""Theme Parks"", ""Wine Tasting"", ""Castle Tours""]",Medium,"[""Adventure"", ""Nature""]",6-8 days
"Wyoming, USA","[""Photography"", ""Hiking"", ""Camping"", ""Wildlife Safari"", ""Cultural Tours""]",Medium,"[""Urban"", ""Modern""]",4-6 days
"Wyoming, USA","[""Photography"", ""Camping"", ""Hiking"", ""Wildlife Safari"", ""Desert Safari""]",High,"[""Nature"", ""Relaxation""]",2-3 days
"Tokyo, Japan","[""Temple Visits"", ""Cultural Shows"", ""Food Tours"", ""Shopping"", ""Yoga Retreats""]",Medium,"[""Urban"", ""Modern""]",10-14 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours"", ""Food Tours"", ""Wine Tasting""]",Medium,"[""Nature"", ""Relaxation""]",4-6 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours"", ""Art Museums"", ""Food Tours"", ""Volcano Tours""]",Low,"[""Urban"", ""Shopping""]",4-6 days
"Dubai, UAE","[""Water Parks"", ""Architecture Tours"", ""Shopping"", ""Desert Safari""]",Low,"[""Nature"", ""Photography""]",8-10 days
"Tuscany, Italy","[""Wine Tasting"", ""Art Museums""]",Medium,"[""Beach"", ""Relaxation""]",8-10 days
"Bangkok, Thailand","[""Food Tours"", ""Temple Visits"", ""Shopping""]",Low,"[""Cultural"", ""Historical""]",10-14 days
"Colorado, USA","[""Skiing"", ""Rock Climbing""]",Low,"[""Cultural"", ""Adventure""]",4-6 days
"Wyoming, USA","[""Hiking"", ""Wildlife Safari"", ""Photography"", ""Camping"", ""River Rafting""]",Medium,"[""Adventure"", ""Beach""]",6-8 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Cultural Tours"", ""Temple Visits"", ""Historical Tours""]",Medium,"[""Nature"", ""Photography""]",6-8 days
"Paris, France","[""Museums"", ""Food Tours"", ""Historical Tours"", ""Shopping""]",High,"[""Adventure"", ""Nature""]",2-3 days
"Colorado, USA","[""Hiking"", ""Skiing"", ""Rock Climbing"", ""Mountain Biking""]",High,"[""Adventure"", ""Beach""]",4-6 days
"Paris, France","[""Museums"", ""Shopping"", ""Food Tours"", ""Historical Tours"", ""Temple Visits""]",Medium,"[""Cultural"", ""Food""]",8-10 days
"California, USA","[""Beach"", ""Theme Parks"", ""Wine Tasting""]",Medium,"[""Nature"", ""Relaxation""]",8-10 days
"Bali, Indonesia","[""Cultural Tours"", ""Temple Visits"", ""Beach"", ""Surfing""]",High,"[""Urban"", ""Shopping""]",10-14 days
"Tuscany, Italy","[""Art Museums"", ""Wine Tasting"", ""Historical Tours"", ""Food Tours"", ""Museums""]",Low,"[""Cultural"", ""Adventure""]",2-3 days
"Bangkok, Thailand","[""Temple Visits"", ""Cultural Shows"", ""Shopping"", ""Food Tours""]",Low,"[""Urban"", ""Shopping""]",4-6 days
"Tuscany, Italy","[""Historical Tours"", ""Wine Tasting""]",Low,"[""Adventure"", ""Beach""]",4-6 days
"Dubai, UAE","[""Architecture Tours"", ""Water Parks"", ""Shopping"", ""Desert Safari"", ""Nightlife""]",High,"[""Cultural"", ""Historical""]",2-3 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"Tuscany, Italy","[""Art Museums"", ""Wine Tasting""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"Bavaria, Germany","[""Beer Tours"", ""Hiking"", ""Castle Tours"", ""Historical Tours"", ""Mountain Tours""]",Medium,"[""Beach"", ""Relaxation""]",8-10 days
"New York, USA","[""Museums"", ""Shopping""]",High,"[""Nature"", ""Photography""]",4-6 days
"New York, USA","[""Museums"", ""Shopping"", ""Food Tours"", ""Theater""]",High,"[""Cultural"", ""Adventure""]",8-10 days
"Bangkok, Thailand","[""Cultural Shows"", ""Temple Visits"", ""Shopping""]",Low,"[""Nature"", ""Relaxation""]",6-8 days
"Wyoming, USA","[""Camping"", ""Wildlife Safari"", ""Hiking""]",Low,"[""Nature"", ""Relaxation""]",4-6 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours""]",Medium,"[""Cultural"", ""Adventure""]",6-8 days
"Bali, Indonesia","[""Temple Visits"", ""Surfing"", ""Cultural Tours""]",High,"[""Adventure"", ""Nature""]",2-3 days
"Bali, Indonesia","[""Cultural Tours"", ""Surfing""]",Medium,"[""Adventure"", ""Beach""]",6-8 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Wine Tasting""]",High,"[""Cultural"", ""Historical""]",2-3 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours"", ""Hiking""]",High,"[""Cultural"", ""Historical""]",2-3 days
"Colorado, USA","[""Skiing"", ""Mountain Biking""]",High,"[""Adventure"", ""Sports""]",4-6 days
"British Columbia, Canada","[""Kayaking"", ""Hiking""]",Low,"[""Urban"", ""Shopping""]",2-3 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Cultural Tours""]",High,"[""Urban"", ""Shopping""]",4-6 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography"", ""Hiking""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"Queensland, Australia","[""Beach"", ""Wildlife Tours"", ""Snorkeling"", ""Hiking"", ""Theater""]",Medium,"[""Nature"", ""Photography""]",6-8 days
"Colorado, USA","[""Hiking"", ""Rock Climbing"", ""Skiing""]",High,"[""Adventure"", ""Beach""]",8-10 days
"Tuscany, Italy","[""Wine Tasting"", ""Food Tours"", ""Art Museums""]",Medium,"[""Urban"", ""Shopping""]",8-10 days
"Tokyo, Japan","[""Shopping"", ""Temple Visits"", ""Cultural Shows"", ""Food Tours""]",High,"[""Cultural"", ""Historical""]",4-6 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours"", ""Hiking"", ""Kayaking"", ""Desert Safari""]",Medium,"[""Historical"", ""Educational""]",8-10 days
"Queensland, Australia","[""Hiking"", ""Wildlife Tours"", ""Beach"", ""Snorkeling""]",High,"[""Nature"", ""Photography""]",8-10 days
"Dubai, UAE","[""Water Parks"", ""Architecture Tours"", ""Desert Safari""]",High,"[""Urban"", ""Shopping""]",6-8 days
"Hawaii, USA","[""Volcano Tours"", ""Beach"", ""Snorkeling"", ""Surfing"", ""River Rafting""]",Medium,"[""Nature"", ""Relaxation""]",8-10 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Snorkeling""]",Low,"[""Adventure"", ""Beach""]",10-14 days
"Hawaii, USA","[""Surfing"", ""Snorkeling"", ""Volcano Tours""]",High,"[""Cultural"", ""Adventure""]",10-14 days
"Colorado, USA","[""Mountain Biking"", ""Rock Climbing""]",Medium,"[""Urban"", ""Modern""]",4-6 days
"British Columbia, Canada","[""Kayaking"", ""Skiing"", ""Hiking""]",Low,"[""Adventure"", ""Nature""]",4-6 days
"Colorado, USA","[""Rock Climbing"", ""Skiing"", ""Hiking"", ""Mountain Biking"", ""Camping""]",High,"[""Beach"", ""Relaxation""]",2-3 days
"Paris, France","[""Museums"", ""Historical Tours"", ""Shopping""]",High,"[""Urban"", ""Shopping""]",6-8 days
"New York, USA","[""Food Tours"", ""Shopping"", ""Theater"", ""Museums"", ""Wildlife Tours""]",Low,"[""Nature"", ""Photography""]",4-6 days
"British Columbia, Canada","[""Hiking"", ""Skiing"", ""Wildlife Tours"", ""Kayaking"", ""Castle Tours""]",Low,"[""Urban"", ""Shopping""]",6-8 days
"Bangkok, Thailand","[""Shopping"", ""Cultural Shows""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Bavaria, Germany","[""Castle Tours"", ""Historical Tours"", ""Hiking"", ""Beer Tours"", ""Mountain Tours""]",Low,"[""Cultural"", ""Food""]",8-10 days
"Paris, France","[""Museums"", ""Shopping""]",High,"[""Nature"", ""Relaxation""]",4-6 days
"Dubai, UAE","[""Water Parks"", ""Shopping"", ""Desert Safari"", ""Architecture Tours"", ""Scuba Diving""]",High,"[""Adventure"", ""Nature""]",4-6 days
"Bangkok, Thailand","[""Cultural Shows"", ""Shopping"", ""Temple Visits""]",Low,"[""Adventure"", ""Sports""]",8-10 days
"Colorado, USA","[""Rock Climbing"", ""Skiing"", ""Hiking"", ""Mountain Biking""]",High,"[""Cultural"", ""Historical""]",10-14 days
"British Columbia, Canada","[""Hiking"", ""Kayaking"", ""Wildlife Tours"", ""Skiing""]",Low,"[""Urban"", ""Modern""]",6-8 days
"Paris, France","[""Historical Tours"", ""Shopping"", ""Food Tours"", ""Museums""]",Medium,"[""Historical"", ""Educational""]",6-8 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours""]",Medium,"[""Adventure"", ""Sports""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Temple Visits""]",Medium,"[""Adventure"", ""Nature""]",2-3 days
"Colorado, USA","[""Mountain Biking"", ""Rock Climbing"", ""Skiing"", ""Hiking"", ""Theater""]",Medium,"[""Adventure"", ""Nature""]",6-8 days
"Dubai, UAE","[""Desert Safari"", ""Architecture Tours"", ""Shopping"", ""Water Parks"", ""Wine Tasting""]",Medium,"[""Urban"", ""Shopping""]",4-6 days
"Tokyo, Japan","[""Cultural Shows"", ""Food Tours"", ""Temple Visits"", ""Shopping""]",High,"[""Nature"", ""Photography""]",8-10 days
"Bangkok, Thailand","[""Temple Visits"", ""Cultural Shows"", ""Shopping""]",Low,"[""Cultural"", ""Food""]",8-10 days
"British Columbia, Canada","[""Hiking"", ""Wildlife Tours""]",Medium,"[""Cultural"", ""Historical""]",2-3 days
"New York, USA","[""Theater"", ""Food Tours"", ""Museums""]",High,"[""Urban"", ""Shopping""]",2-3 days
